Date,Team.1,Team.2,FT
8/19/2000,Charlton,Man City,Apr-00
8/19/2000,Chelsea,West Ham,2-Apr
8/19/2000,Coventry,Middlesbrough,3-Jan
8/19/2000,Derby,Southampton,2-Feb
8/19/2000,Leeds,Everton,Feb-00
8/19/2000,Leicester,Aston Villa,0-0
8/19/2000,Liverpool,Bradford,Jan-00
8/19/2000,Sunderland,Arsenal,Jan-00
8/19/2000,Tottenham,Ipswich,1-Mar
8/20/2000,Man United,Newcastle,Feb-00
8/21/2000,Arsenal,Liverpool,Feb-00
8/22/2000,Bradford,Chelsea,Feb-00
8/22/2000,Ipswich,Man United,1-Jan
8/22/2000,Middlesbrough,Tottenham,1-Jan
8/23/2000,Everton,Charlton,Mar-00
8/23/2000,Man City,Sunderland,2-Apr
8/23/2000,Newcastle,Derby,2-Mar
8/23/2000,Southampton,Coventry,2-Jan
8/23/2000,West Ham,Leicester,0-1
8/26/2000,Arsenal,Charlton,3-May
8/26/2000,Bradford,Leicester,0-0
8/26/2000,Everton,Derby,2-Feb
8/26/2000,Ipswich,Sunderland,Jan-00
8/26/2000,Man City,Coventry,2-Jan
8/26/2000,Middlesbrough,Leeds,2-Jan
8/26/2000,Newcastle,Tottenham,Feb-00
8/26/2000,Southampton,Liverpool,3-Mar
8/26/2000,West Ham,Man United,2-Feb
8/27/2000,Aston Villa,Chelsea,1-Jan
9/5/2000,Leeds,Man City,2-Jan
9/5/2000,Man United,Bradford,Jun-00
9/5/2000,Sunderland,West Ham,1-Jan
9/5/2000,Tottenham,Everton,2-Mar
9/6/2000,Charlton,Southampton,1-Jan
9/6/2000,Chelsea,Arsenal,2-Feb
9/6/2000,Coventry,Newcastle,0-2
9/6/2000,Derby,Middlesbrough,3-Mar
9/6/2000,Leicester,Ipswich,1-Feb
9/6/2000,Liverpool,Aston Villa,1-Mar
9/9/2000,Bradford,Arsenal,1-Jan
9/9/2000,Coventry,Leeds,0-0
9/9/2000,Ipswich,Aston Villa,2-Jan
9/9/2000,Leicester,Southampton,Jan-00
9/9/2000,Liverpool,Man City,2-Mar
9/9/2000,Man United,Sunderland,Mar-00
9/9/2000,Middlesbrough,Everton,2-Jan
9/9/2000,Newcastle,Chelsea,0-0
9/10/2000,Derby,Charlton,2-Feb
9/11/2000,Tottenham,West Ham,Jan-00
9/16/2000,Arsenal,Coventry,1-Feb
9/16/2000,Aston Villa,Bradford,Feb-00
9/16/2000,Charlton,Tottenham,Jan-00
9/16/2000,Everton,Man United,3-Jan
9/16/2000,Leeds,Ipswich,2-Jan
9/16/2000,Southampton,Newcastle,Feb-00
9/16/2000,Sunderland,Derby,1-Feb
9/17/2000,Chelsea,Leicester,0-2
9/17/2000,Man City,Middlesbrough,1-Jan
9/17/2000,West Ham,Liverpool,1-Jan
9/23/2000,Bradford,Southampton,0-1
9/23/2000,Coventry,West Ham,0-3
9/23/2000,Derby,Leeds,1-Jan
9/23/2000,Ipswich,Arsenal,1-Jan
9/23/2000,Liverpool,Sunderland,1-Jan
9/23/2000,Man United,Chelsea,3-Mar
9/23/2000,Middlesbrough,Aston Villa,1-Jan
9/23/2000,Newcastle,Charlton,0-1
9/23/2000,Tottenham,Man City,0-0
9/24/2000,Leicester,Everton,1-Jan
9/30/2000,Aston Villa,Derby,1-Apr
9/30/2000,Charlton,Coventry,2-Feb
9/30/2000,Everton,Ipswich,0-3
9/30/2000,Leeds,Tottenham,3-Apr
9/30/2000,Man City,Newcastle,0-1
9/30/2000,Southampton,Middlesbrough,3-Jan
9/30/2000,West Ham,Bradford,1-Jan
10/1/2000,Arsenal,Man United,Jan-00
10/1/2000,Chelsea,Liverpool,Mar-00
10/1/2000,Sunderland,Leicester,0-0
10/14/2000,Arsenal,Aston Villa,Jan-00
10/14/2000,Coventry,Tottenham,1-Feb
10/14/2000,Everton,Southampton,1-Jan
10/14/2000,Ipswich,West Ham,1-Jan
10/14/2000,Leeds,Charlton,1-Mar
10/14/2000,Leicester,Man United,0-3
10/14/2000,Man City,Bradford,Feb-00
10/14/2000,Sunderland,Chelsea,Jan-00
10/15/2000,Derby,Liverpool,0-4
10/16/2000,Middlesbrough,Newcastle,3-Jan
10/21/2000,Bradford,Ipswich,0-2
10/21/2000,Charlton,Middlesbrough,Jan-00
10/21/2000,Chelsea,Coventry,1-Jun
10/21/2000,Liverpool,Leicester,Jan-00
10/21/2000,Man United,Leeds,Mar-00
10/21/2000,Newcastle,Everton,0-1
10/21/2000,Tottenham,Derby,1-Mar
10/21/2000,West Ham,Arsenal,2-Jan
10/22/2000,Aston Villa,Sunderland,0-0
10/23/2000,Southampton,Man City,0-2
10/28/2000,Arsenal,Man City,May-00
10/28/2000,Aston Villa,Charlton,1-Feb
10/28/2000,Chelsea,Tottenham,Mar-00
10/28/2000,Ipswich,Middlesbrough,1-Feb
10/28/2000,Leicester,Derby,1-Feb
10/28/2000,Man United,Southampton,May-00
10/28/2000,Sunderland,Coventry,Jan-00
10/28/2000,West Ham,Newcastle,Jan-00
10/29/2000,Bradford,Leeds,1-Jan
10/29/2000,Liverpool,Everton,1-Mar
11/4/2000,Charlton,Bradford,Feb-00
11/4/2000,Coventry,Man United,2-Jan
11/4/2000,Leeds,Liverpool,3-Apr
11/4/2000,Man City,Leicester,0-1
11/4/2000,Middlesbrough,Arsenal,0-1
11/4/2000,Newcastle,Ipswich,1-Feb
11/4/2000,Southampton,Chelsea,2-Mar
11/4/2000,Tottenham,Sunderland,1-Feb
11/5/2000,Everton,Aston Villa,0-1
11/6/2000,Derby,West Ham,0-0
11/11/2000,Arsenal,Derby,0-0
11/11/2000,Aston Villa,Tottenham,Feb-00
11/11/2000,Bradford,Everton,0-1
11/11/2000,Ipswich,Charlton,Feb-00
11/11/2000,Leicester,Newcastle,1-Jan
11/11/2000,Man United,Middlesbrough,1-Feb
11/11/2000,Sunderland,Southampton,2-Feb
11/11/2000,West Ham,Man City,1-Apr
11/12/2000,Chelsea,Leeds,1-Jan
11/12/2000,Liverpool,Coventry,1-Apr
11/18/2000,Charlton,Chelsea,Feb-00
11/18/2000,Derby,Bradford,Feb-00
11/18/2000,Everton,Arsenal,Feb-00
11/18/2000,Leeds,West Ham,0-1
11/18/2000,Man City,Man United,0-1
11/18/2000,Middlesbrough,Leicester,0-3
11/18/2000,Newcastle,Sunderland,2-Jan
11/18/2000,Southampton,Aston Villa,Feb-00
11/19/2000,Tottenham,Liverpool,1-Feb
11/20/2000,Coventry,Ipswich,0-1
11/25/2000,Charlton,Sunderland,0-1
11/25/2000,Coventry,Aston Villa,1-Jan
11/25/2000,Derby,Man United,0-3
11/25/2000,Everton,Chelsea,1-Feb
11/25/2000,Man City,Ipswich,3-Feb
11/25/2000,Middlesbrough,Bradford,2-Feb
11/25/2000,Southampton,West Ham,3-Feb
11/25/2000,Tottenham,Leicester,Mar-00
11/26/2000,Leeds,Arsenal,Jan-00
11/26/2000,Newcastle,Liverpool,1-Feb
12/2/2000,Arsenal,Southampton,Jan-00
12/2/2000,Aston Villa,Newcastle,1-Jan
12/2/2000,Bradford,Coventry,1-Feb
12/2/2000,Ipswich,Derby,0-1
12/2/2000,Leicester,Leeds,1-Mar
12/2/2000,Liverpool,Charlton,Mar-00
12/2/2000,Man United,Tottenham,Feb-00
12/2/2000,West Ham,Middlesbrough,Jan-00
12/3/2000,Chelsea,Man City,1-Feb
12/4/2000,Sunderland,Everton,Feb-00
12/9/2000,Arsenal,Newcastle,May-00
12/9/2000,Bradford,Tottenham,3-Mar
12/9/2000,Charlton,Man United,3-Mar
12/9/2000,Chelsea,Derby,1-Apr
12/9/2000,Man City,Everton,May-00
12/9/2000,Southampton,Leeds,Jan-00
12/9/2000,Sunderland,Middlesbrough,Jan-00
12/9/2000,West Ham,Aston Villa,1-Jan
12/10/2000,Coventry,Leicester,Jan-00
12/10/2000,Liverpool,Ipswich,0-1
12/16/2000,Aston Villa,Man City,2-Feb
12/16/2000,Derby,Coventry,Jan-00
12/16/2000,Everton,West Ham,1-Jan
12/16/2000,Ipswich,Southampton,1-Mar
12/16/2000,Leeds,Sunderland,Feb-00
12/16/2000,Leicester,Charlton,1-Mar
12/16/2000,Middlesbrough,Chelsea,Jan-00
12/16/2000,Newcastle,Bradford,1-Feb
12/17/2000,Man United,Liverpool,0-1
12/18/2000,Tottenham,Arsenal,1-Jan
12/22/2000,Coventry,Southampton,1-Jan
12/23/2000,Charlton,Everton,Jan-00
12/23/2000,Chelsea,Bradford,Mar-00
12/23/2000,Derby,Newcastle,Feb-00
12/23/2000,Leeds,Aston Villa,2-Jan
12/23/2000,Leicester,West Ham,1-Feb
12/23/2000,Liverpool,Arsenal,Apr-00
12/23/2000,Man United,Ipswich,Feb-00
12/23/2000,Sunderland,Man City,Jan-00
12/23/2000,Tottenham,Middlesbrough,0-0
12/26/2000,Arsenal,Leicester,1-Jun
12/26/2000,Aston Villa,Man United,0-1
12/26/2000,Bradford,Sunderland,4-Jan
12/26/2000,Everton,Coventry,2-Jan
12/26/2000,Ipswich,Chelsea,2-Feb
12/26/2000,Man City,Derby,0-0
12/26/2000,Middlesbrough,Liverpool,Jan-00
12/26/2000,Newcastle,Leeds,1-Feb
12/26/2000,West Ham,Charlton,May-00
12/27/2000,Southampton,Tottenham,Feb-00
